id_Cliente,Nome,DataCriacao,CodigoPostal,Cidade,Pais,NIF
29,Yahya Tiegs,2006-05-26,4815,guimaraes,PT,567763687
30,Greg Buffin,2006-05-26,,vilaverde,PT,745823316
31,Randall Gizinski,2006-06-09,4820,fafe,PT,128754874
32,Glory Cokins,2006-06-28,4800,guimaraes,PT,585610207
33,Delmer Cassetta,2006-12-21,4810,guimaraes,PT,232070164
34,Buster Viar,2006-12-21,4820,golães,PT,615316436
35,Marva Pass,2007-05-11,4970,arcos de veldevez,PT,502016413
36,Osbourne Dobies,2007-09-17,4920,vila nova de cerveira,PT,460354568
37,Frederick Scholnick,2007-10-09,4920,vila nova de cerveira,PT,757686005
38,Melina Eligio,2008-02-12,,viana do castelo,PT,853165333
39,Roma Malart,2008-05-23,4935,viana do castelo,PT,501626303
40,Jonquil Nuzzi,2008-10-02,4950,monção,PT,500781443
41,Felipa Billingslea,2009-07-13,4980,ponte da barca,PT,637661341
42,Khaleel Trigueros,2010-05-20,4900,viana do castelo,PT,057182081
43,Janene Mazar,2012-05-18,4935,viana do castelo,PT,024860312
44,Virgee Caal,2012-08-06,4935,darque,PT,201266200
45,Rayshawn Tenbrink,2012-11-22,4990,ponte de lima,PT,115188432
46,Monday Delrosario,2013-02-14,4980,ponte da barca,PT,357332688
47,Klemens Kubat,2014-02-24,4970,arcos de valdevez,PT,627075766
48,Muna Koczera,2014-05-06,4925,viana do castelo,PT,488220586
49,Lynette Korner,2014-06-19,4925,viana do castelo,PT,507670144
50,Sonya Grimard,2014-10-28,4960,melgaço,PT,878866714
51,Ashton Zerger,2015-01-14,4970,arcos de valdevez,PT,010076185
52,Tony Spierling,2015-01-14,4970,arcos de valdevez,PT,137283703
53,Gisselle Buschow,2015-03-11,4990,"ponte de lima ",PT,562678554
54,Aleen Disandro,2015-07-06,4930,valença,PT,063106554
55,Sammy Arvai,2015-07-21,4990,ponte de lima,PT,665158305
56,Terenzio Blott,2015-10-07,4970,arcos de valdevez,PT,775707635
57,Cristopher Pinchon,2016-01-08,4990,"ponte de lima ",PT,654603356
58,Gottfried Nagler,2016-03-03,4900,viana do castelo,PT,130234334
59,Jacinthe Draxler,2017-01-11,4940,"paredes de coura ",PT,766413385
60,Liborio Sette,2017-02-09,4970,arcos de valdevez,PT,117787356
61,Jacinth Ullo,2017-03-27,4935,viana do castelo,PT,362324768
62,Lazzaro Henne,2017-03-27,4935,viana do castelo,PT,087178683
63,Kanti Antoniotti,2017-05-15,4990,"ponte de lima ",PT,217312023
64,Dane Spielvogel,2017-06-07,4920,mentrestido,PT,558805322
65,Orlo Dragone,2017-10-12,4990,"ponte de lima ",PT,273181108
66,Kacie Kremmel,2004-03-19,,guimaraes,PT,505605656
67,Digby Vanson,2005-06-01,4760,ribeirão,PT,717383545
68,Lammert Valli,2005-06-01,4765,serzedelo,PT,414521122
69,Cleveland Swedenburg,2005-06-08,4810,guimarães,PT,821780682
70,Colombain Ducksworth,2005-08-11,,guimarães,PT,548012116
71,Johnie Spotwood,2004-03-19,4810,guimaraes,PT,223721223
72,Akeem Wilkers,2004-03-19,,caldas de vizela,PT,070127355
73,Cletus Zagami,2004-03-19,,guimaraes,PT,107273102
74,Zelma Phong,2004-03-19,,guimaraes,PT,480324077
75,Keitha Barmer,2004-03-19,4810,guimaraes,PT,408343153
76,Juliann Salmonson,2004-03-19,4820,fafe,PT,384727280
77,Jonathan Dang,2004-03-19,4810,serzedo gmr,PT,480221558
78,Cherri Bullocks,2004-03-19,,guimaraes,PT,365111120
79,Talmadge Borba,2005-10-14,4700,braga,PT,788703750
80,Iris Ehleiter,2004-03-19,,guimaraes,PT,371240545
81,Kishan Kadis,2004-09-30,4700,braga,PT,211816177
82,Daquan Volpert,2004-03-19,,guimaraes,PT,873612577
83,Brunella Ideue,2004-03-19,4810,guimaraes,PT,083647064
84,Lara Petko,2004-03-19,,fafe,PT,063872262
85,Georgie Andary,2004-03-19,,felgueiras,PT,274863770
86,Hafsah Norwood,2004-03-19,4810,guimaraes,PT,708270077
87,Alvera Feyereisen,2004-03-19,4764,ribeirão,PT,657241511
88,Bridgett Keate,2004-03-19,,guimarães codex,PT,221626176
89,Odie Gonnerman,2004-03-19,4810,guimarães,PT,052123703
90,Mariangela Hunnewell,2004-03-19,4810,guimarães,PT,501584081
91,Napier Kaempfer,2004-09-29,,braga,PT,666046602
92,Bryson Frosch,2005-01-24,4705,braga,PT,764252853
93,Isidor Beidleman,2004-10-25,4810,guimaraes,PT,550514342
94,Marcello Pabon,2005-02-11,4820,fafe,PT,614027216
95,Raquel Fitser,2005-02-28,,albacete,ES,002310414
96,Gottlieb Lulas,2005-06-23,4750,barcelos,PT,616125560
97,Morven Macinnes,2005-10-18,4730,vila verde,PT,003877133
98,Olive Trevino,2004-09-29,4720,amares,PT,530626823
99,Nandy Pipe,2004-03-19,4800,guimarães,PT,533060032
100,Silas Youngstrom,2004-03-19,4470,maia,PT,774828167
101,Philippina Emmette,2004-03-19,4810,guimarães,PT,431411640
102,Hadya Carriaga,2004-03-19,4811,guimarães,PT,181627865
103,Tanesha Delveechio,2004-03-19,4440,valongo,PT,255232811
104,Sebastien Avey,2004-03-19,4810,guimarães,PT,033506523
105,Rosalin Seamster,2004-08-30,,fafe,PT,184860630
106,Dennie Clewes,2004-11-09,,barcelona,ES,767245773
107,Napoleon Dahline,2004-03-19,4810,guimarães,PT,863170771
108,Breann McEwen,2005-03-23,4715,braga,PT,258763855
109,Adil Vichidvongsa,2004-10-18,4835,guimaraes,PT,223562488
110,Gillian Pippitt,2005-03-23,,campos del puerto,ES,178848340
111,Raquel Zanders,2005-11-11,,alcala la real,ES,176866127
112,Eliane Manion,2004-03-19,,guimarães,PT,587772756
113,Jocelyn Vandyck,2005-05-24,,navalcarnero,ES,332484585
114,Katja Huettlin,2005-05-24,,soria,ES,032886854
115,Sherlock Rima,2005-07-14,,siguenza,ES,083173174
116,Helen Mazzarino,2005-07-22,,guadalajara,ES,458260716
117,Raed Stites,2005-11-16,4810,guimarães,PT,330038087
118,Jonathon Dewyse,2004-03-19,,guimarães,PT,216655120
119,Vivien Petrucci,2004-03-19,,guimarães,PT,080384784
120,Lidia Seifarth,2004-03-19,,guimarães,PT,543362746
121,Bonifaz Mildred,2005-12-05,4720,ferreiros,PT,051813584
122,Hari Befort,2004-12-29,4715,braga,PT,144672058
123,Vesta Hornstrom,2004-12-29,,braga,PT,288707742
124,Anibal Fricker,2004-03-19,,celorico de bastos,PT,758158810
125,Camron Weitnauer,2004-12-03,4760,vila nova de famalicão,PT,083875371
126,Doron Jelinski,2004-11-17,,baleares,ES,068871302
127,Harlan Sancher,2004-11-17,,calonge,ES,601835877
128,Kaylynn Rietschlin,2004-11-12,4760,vila nova de famalicão,PT,683724271
129,Lavonne Fury,2004-03-19,,guimarães,PT,421752363
130,Sigmund Letteer,2004-03-19,4820,fafe,PT,587530138
131,Alexandria Digirolamo,2004-03-19,,guimarães,PT,270141150
132,Rameshwar Silveria,2004-11-09,,palma mallorca,ES,NULL
133,Loreto Siriani,2004-10-22,,solsona,ES,NULL
134,Hudson Pollo,2004-10-19,,tarragona,ES,070235537
135,Alethea Benberry,2004-10-19,,arta,ES,NULL
136,Dudley Favela,2004-10-13,4810,guimaraes,PT,NULL
137,Hubert Brochure,2004-10-13,,asturias,ES,443552683
138,Monique Gubler,2004-10-08,,asturias,ES,747330475
139,Philibert Haroun,2004-09-03,4715,braga,PT,NULL
140,Sebastien Teitenberg,2004-08-02,4700,braga,PT,025024045
141,Lynette Spaziani,2004-07-28,4805,guimaraes,PT,178441320
142,Parsifal Pia,2004-03-19,,guimarães,PT,708006046
143,Aurelien Sciortino,2004-03-19,,guimarães,PT,562786005
144,Alwilda Sarratt,2004-03-19,,guimarães,PT,353184158
145,Allegra Bergey,2004-03-19,4810,guimarães,PT,775355612
146,Hisein Sifre,2004-03-19,,guimarães,PT,033253315
147,Rawiya Tissot,2004-03-19,4815,moreira de cónegos,PT,523765678
148,Coby Fukunaga,2004-03-19,4810,guimarães,PT,347320451
149,Vernie Dupee,2004-03-19,,fafe,PT,074858058
150,Ashely Mcaulay,2004-03-19,,guimarães,PT,882366373
151,Judie Haigh,2004-03-19,4800,guimarães,PT,802372586
152,Jayanti Buttrel,2004-03-19,,fafe,PT,472811308
153,Valerie Redondo,2005-12-15,4730,vila verde,PT,527248270
154,Alessio Baillargeon,2004-03-19,4700,braga,PT,372065360
155,Berthe Blochberger,2004-03-19,,guimarães,PT,167723786
156,Gwandoya Palasik,2005-04-11,4800,guimarães,PT,073672761
157,Lois Timberman,2004-06-15,,braga,PT,651158720
158,Kojo Kokocinski,2004-03-19,4700,braga,PT,785521371
159,Meghan Juhl,2004-05-03,4830,povoa de lanhoso,PT,240247304
160,Candelario Shamsi,2004-04-19,4730,vila verde,PT,801144728
161,Sabino Crader,2004-03-19,,braga,PT,586560788
162,Vivian Smithers,2004-03-19,4835,guimarães,PT,447106171
163,Ottoline Grumet,2004-03-19,,caldas de vizela,PT,151021063
164,Desdemona Schuyleman,2004-03-19,,guimarães,PT,666868120
165,Theo Cavalier,2004-03-19,4830,povoa lanhoso,PT,085847820
166,Judith Bela,2005-07-20,5160,torre de moncorvo,PT,NULL
167,Elisha Fleer,2006-07-21,,madrid,ES,NULL
168,Tessie Sizer,2006-07-21,,madrid,ES,NULL
169,Prosper Jilek,2006-07-25,,madrid,ES,NULL
170,Nieves Rujawitz,2006-09-11,,madrid,ES,841838706
171,Mitchel Zahniser,2006-10-10,5370,mirandela,PT,NULL
172,Garth Campellone,2006-11-28,4550,castelo paiva,PT,674523857
173,Connor Bianchi,2007-01-02,,almeria,ES,333665413
174,Mort Mokiao,2007-01-09,,sevilla,ES,886045764
175,Venita Lefthand,2007-04-10,,mid glamorgan,GB,576121635
176,Julius Downton,2007-05-11,5300,bragança,PT,NULL
177,Ethalyn Schuknecht,2007-08-31,,la solana (ciudad real),ES,NULL
178,Tyrese Bockemehl,2008-01-17,5350,alfandega da fé,PT,NULL
179,Sibilla Umbrell,2008-04-04,,alcala de henares,ES,NULL
180,Kato Theden,2008-04-15,,madrid,ES,NULL
181,Babs Mabb,2008-04-21,,tembleque - toleda,ES,NULL
182,Chris Yaftali,2008-04-21,,corral de almaguer,ES,NULL
183,Bambi Aegerter,2008-04-29,,madrid,ES,NULL
184,Hafza Brunetti,2008-04-30,,madrid,ES,NULL
185,Denice Pluym,2008-05-09,,madrid,ES,NULL
186,Santo Bogardus,2008-05-09,,madrid,ES,NULL
187,Cadence Cessna,2008-05-09,,madrid,ES,NULL
188,Doreen Merritts,2008-05-23,,madrid,ES,NULL
189,Baron Vandyke,2008-06-17,,madrid,ES,NULL
190,Keaton Keehn,2008-09-10,5300,bragança,PT,NULL
191,Lynn Palmino,2010-04-08,,bressuire,FR,068552562
192,Tiziano Kardashian,2012-04-19,,tomiño,ES,056460715
193,Sebastiano Mohre,2012-06-25,5140,carrazeda de ansiães,PT,NULL
194,Shelbi Latina,2012-10-09,5445,carrazedo de montenegro,PT,NULL
195,Mattie Summerford,2012-11-05,5300,bragança,PT,NULL
196,Domenick Srey,2012-11-29,,dorset,GB,167531356
197,Ford Branaman,2014-01-14,5300,bragança,PT,NULL
198,Fallon Hendeson,2015-01-22,5140,carrazeda de ansiães,PT,NULL
199,Abram Mcloone,2016-04-15,5300,bragança,PT,NULL
200,Catalina Gers,2016-05-09,5370,mirandela,PT,234882755
201,Gennaro Barocio,2016-09-02,5360,lodões - vila flor,PT,003433850
202,Kent Mace,2017-01-19,5370,mirandela,PT,NULL
203,Mikel Sahr,2018-05-09,5200,mogadouro,PT,465513402
204,Micheal Herbin,2018-10-11,5370,mirandela,PT,406178148
205,Elric Butterworth,2019-02-22,5370,mirandela,PT,362450086
206,Claire Yeeloy,2019-02-25,5370,mirandela,PT,312778524
207,Pitambar Novickis,2019-07-04,,luxemburgo,LU,803721000
208,Benigno Capilla,2019-07-26,5140,carrazeda de ansiães,PT,842684886
209,Brittani Huffner,2019-07-26,5360,vila flor,PT,567314726
210,Jonty Passow,2005-07-27,5000,vila real,PT,440631822
211,Lorna Bermudez,2005-11-24,5000,vila real,PT,NULL
212,Elena Livernois,2006-03-28,5450,vila pouca de aguiar,PT,NULL
213,Francisca Schabert,2006-05-22,5470,montalegre,PT,NULL
214,Russell Lafavor,2007-05-03,5000,vila real,PT,086176837
215,Fulton Beene,2012-07-18,5460,boticas,PT,NULL
216,Walker Spaugh,2004-03-19,5370,mirandela,PT,384004172
217,Joachim Trevethan,2008-04-17,5445,carrazedo de montenegro,PT,NULL
218,Jake Laxen,2010-11-29,5070,alijo,PT,NULL
219,Juliane Hovde,2011-09-22,5400,.,PT,NULL
220,Iesha Bachelor,2011-09-23,5000,vila real,PT,NULL
221,Zina Endler,2011-11-04,5470,montalegre,PT,NULL
222,Scot Yehl,2011-11-04,5430,valpaços,PT,NULL
223,Rowanne Vyas,2012-01-30,,.,PT,NULL
224,Priscilla Haisten,2012-10-09,5060,sabrosa,PT,NULL
225,Karon Caska,2012-11-06,5050,peso da regua,PT,NULL
226,Clarabelle Carbonneau,2013-10-29,5430,valpaços,PT,530354151
227,Gunnar Eike,2014-03-06,5000,vila real,PT,NULL
228,Carissa Limardi,2014-08-27,5000,vila real,PT,NULL
229,Didier Barcelona,2014-10-01,5000,vila real,PT,NULL
230,Johanna Mccowen,2015-03-17,5400,chaves,PT,NULL
231,Lonna Okojie,2015-03-19,4600,amarante,PT,544776433
232,Lyn Dimpfl,2015-03-20,4870,ribeira de pena,PT,NULL
233,Chelsey Parrotta,2015-11-23,"5450 ",v. p. aguiar,PT,NULL
234,Laquita Pindell,2016-03-04,5400,chaves,PT,NULL
235,Coleen Baldivia,2016-03-29,5000,vila real,PT,NULL
236,Hartwig Su,2016-10-26,5050,peso da régua,PT,NULL
237,Tiger Hiestand,2018-05-30,5000,andrães,PT,832771764
238,Dewey Opichka,2018-10-09,5000,vila real,PT,300832264
239,Williams Fregoso,2019-05-15,5000,andrães,PT,385503064
240,Arvilla Schwartzwalde,2019-09-02,5450,pedras salgadas,PT,046625742
241,Maudie Delosier,2005-01-20,3500,viseu,PT,623508128
242,Mirembe Welfel,2005-02-11,3600,castro daire,PT,136235883
243,Esther Gearon,2005-03-23,,vila nova de paiva,PT,281663557
244,May Sivak,2005-09-20,3230,penela,PT,232260168
245,Darien Kotara,2005-10-14,3560,satão,PT,021226543
246,Nataly Kellman,2005-11-21,3510,viseu,PT,NULL
247,Tamsen Chiarella,2006-01-12,3680,oliveira de frades,PT,NULL
248,Isador Brentson,2006-01-18,3660,são pedro do sul,PT,NULL
249,Reynold Schumm,2006-05-24,3430,carregal do sal,PT,NULL
250,Derren Burmaster,2004-03-19,3510,viseu,PT,NULL
251,Sanchia Oursler,2004-03-19,3515,viseu,PT,NULL
252,Agnes Flenaugh,2006-10-13,2725,mem-martins,PT,363858854
253,Oswald Gohn,2007-01-12,3600,castro daire,PT,NULL
254,Francisco Mctier,2007-02-28,3500,viseu,PT,280578130
255,Ervin Lotts,2007-08-09,3660,são pedro do sul,PT,661881323
256,Ermentraud Mahn,2004-03-19,,viseu,PT,300571881
257,Mckinley Bees,2007-09-06,3530,mangualde,PT,153321673
258,Marylou Taiwo,2007-09-26,3510,viseu,PT,235171845
259,Burton Misura,2007-10-10,3500,viseu,PT,NULL
260,Ferdie Schepper,2007-10-22,3505,viseu,PT,NULL
261,Mellisa Beermann,2007-12-19,3450,mortágua,PT,NULL
262,Heriberto Popovec,2008-01-17,3530,viseu,PT,752043177
263,Maximillian Milosch,2008-01-28,3520,nelas,PT,NULL
264,Rosita Gardner,2008-02-14,3460,tondela,PT,NULL
265,Susanita Datt,2008-04-11,3510,viseu,PT,NULL
266,Kathryn Schmeisser,2008-04-21,3530,mangualde,PT,NULL
267,Aric Rubino,2008-06-27,3500,viseu,PT,145856357
268,Olan Stford,2008-07-02,3520,nelas,PT,NULL
269,Wally Kepkey,2008-10-02,3510,viseu,PT,NULL
270,Emerald Selestewa,2008-12-23,4705,braga,PT,142402124
271,Gwenaelle Pernell,2009-01-28,3440,santa comba dão,PT,NULL
272,Bernetta Joslin,2009-07-23,3530,mangualde,PT,183653164
273,Prudenzio Guo,2009-10-26,3510,viseu,PT,NULL
274,Alisha Mintey,2010-11-22,3534,mangualde,PT,472628143
275,Shekhar Lale,2011-10-14,3515,viseu,PT,NULL
276,Norm Candland,2013-03-15,3500,viseu,PT,NULL
277,Rocio Bridgman,2013-03-25,3650,v.n. de paiva,PT,NULL
278,Suzy Jaffe,2013-06-14,3475,arca ofr,PT,NULL
279,Dulce Senseman,2013-06-14,3640,sernancelhe,PT,NULL
280,Loreto Mackie,2014-04-30,3650,vila nova de paiva,PT,NULL
281,Driskoll Sabina,2014-05-05,3534,mangualde,PT,528517112
282,Khayriyya Preuett,2014-06-02,3620,moimenta da beira,PT,NULL
283,Telly Fillyaw,2014-07-18,4690,nespereira,PT,822880837
284,Dorian Pomberg,2014-08-20,3510,viseu,PT,510575327
285,Dock Terhorst,2014-09-22,3510,viseu,PT,NULL
286,Ignatz Lagerberg,2014-09-30,5120,tabuaço,PT,NULL
287,Devi Lemere,2015-01-29,3680,oliveira de frades,PT,NULL
288,Gaetan Cumiskey,2015-02-27,3640,sernancelhe,PT,NULL
289,Maxine Labove,2015-07-06,3660,são pedro do sul,PT,NULL
290,Euna Rancifer,2016-05-03,2500,viseu,PT,NULL
291,Alisha Mahdi,2016-06-20,5100,lamego,PT,NULL
292,Julian Thu,2016-08-04,3530,mangualde,PT,NULL
293,Gemma Goudeau,2016-09-08,"3500 ",viseu,PT,472333170
294,Waneta Hesby,2017-03-14,3660,viseu,PT,NULL
295,Isaura Buffo,2017-09-21,5130,s. j. da pesqueira,PT,NULL
296,Maranda Paulos,2017-10-23,3500,viseu,PT,NULL
297,Melia Shollenberger,2018-10-10,3460,tondela,PT,NULL
298,Bakr Vanstone,2019-06-05,3640,sarzeda,PT,NULL
299,Giffard Dryer,2019-06-12,3620,moimenta da beira,PT,NULL
300,Laci Visel,2019-06-26,3680,oliveira de frades,PT,361876331
301,Otilia Duren,2019-06-26,3680,oliveira de frades,PT,336603622
302,Bidelia Schares,2004-03-19,6300,guarda,PT,NULL
303,Reginal Almengor,2004-04-19,6300,guarda,PT,NULL
304,Lore Lamarsh,2005-05-12,6200,refugio,PT,406252100
305,Retha Manza,2006-07-18,6270,guarda,PT,NULL
306,Gresham Hagaman,2006-09-27,6300,guarda,PT,607456210
307,Floriano Endersbe,2008-06-27,3800,aveiro,PT,NULL
308,Xerxes Delmange,2013-01-11,6270,.,PT,NULL
309,Kami Torbert,2013-03-25,6300,guarda,PT,NULL
310,Floriana Olthoff,2013-03-28,6360,celorico da beira,PT,NULL
311,Rawiya Thornborrow,2013-05-31,6400,pinhel,PT,NULL
312,Lilo Donkle,2014-02-28,3570,aguiar da beira,PT,NULL
313,Lammert Nonemaker,2014-04-01,6260,NULL,PT,NULL
314,Sandy Ashbourne,2014-07-09,6300,guarda,PT,083068850
315,Cyril Mackenthun,2014-09-22,6230,fundão,PT,NULL
316,Mayte Sciabica,2015-02-23,6270,folgosa salvador,PT,NULL
317,Cassandra Mabary,2015-03-16,6200,covilhã,PT,026578845
318,Maryjane Tashiro,2015-10-29,4770,vila nova famalicao,PT,528706766
319,Montague Safrit,2015-11-18,4800,guimarães,PT,310668307
320,Isobel Junod,2015-11-20,4760,vilarinho das cambas - v.n.f.,PT,302108662
321,Maria Ragas,2015-12-14,4800,guimarães,PT,077022077
322,Itidal Laven,2015-12-15,4730,vila de prado,PT,053880630
323,Benjamin Mullings,2015-12-21,4810,guimarães,PT,506065203
324,Shamika Totosz,2016-01-07,4835,pevidém,PT,088807767
325,Emmitt Kmiotek,2016-01-15,4805,guimarães,PT,602742270
326,Madonna Koulalis,2016-01-18,4815,s.joão - vizela,PT,520654356
327,Mo Bessler,2016-03-15,4700,"braga ",PT,068115143
328,Kristyn Leingang,2016-04-20,4730,vila verde,PT,NULL
329,Tyree Freman,2016-04-29,4805,guimararães,PT,328663201
330,Teressa Snair,2016-05-12,4805,guimarães,PT,814710871
331,Theo Seipp,2016-05-31,4835,guimaraes,PT,422367381
332,Nicolette Trowery,2016-06-01,4800,s. torcato - guimarães,PT,NULL
333,Marje Corkins,2016-07-01,4765,riba de ave,PT,060411780
334,Loriann Sweely,2016-07-07,4730,"vila verde ",PT,160343503
335,Emmanuel Barone,2016-09-02,4760,v. n. famalicão,PT,802583104
336,Ashely Bottomly,2016-10-24,4810,guimarães,PT,642135885
337,Deangelo Luellen,2016-10-25,4730,vila verde,PT,548700027
338,Lorine Dellano,2016-11-07,4811,guimarães,PT,645872280
339,Khayriyya Villena,2016-12-06,4740,esposende,PT,NULL
340,Klemens Mattie,2017-01-20,4805,guimarães,PT,634553121
341,Loredana Greiser,2017-01-25,4835,guimarães,PT,743053646
342,Amias Turlich,2017-02-02,4815,vizela,PT,680756212
343,Alda Vanderslice,2017-02-10,4815,moreira de cónegos,PT,422184860
344,Ayishah Pernice,2017-02-15,4805,guimarães,PT,721083112
345,Leesa Aull,2017-03-02,4860,cabeceiras de basto,PT,NULL
346,Alonza Buzby,2017-03-09,4815,moreira de cónegos,PT,815510734
347,Elna Dosier,2017-03-09,4830,póvoa de lanhoso,PT,NULL
348,Piers Swango,2017-03-29,4730,"vila verde ",PT,NULL
349,Claudia Philibert,2017-04-26,4810,guimarães,PT,NULL
350,Leocadia Ridgle,2017-05-18,4700,NULL,PT,540445830
351,Dawud Morrow,2017-06-21,4770,vila nova de famalicão,PT,425800811
352,Fernande Bouton,2017-09-19,4850,vieira do minho,PT,755368574
353,Lyman Kenmore,2017-10-18,4760,vila nova de famalicão,PT,800111845
354,Charley Sarcone,2017-11-17,4805,NULL,PT,748568505
355,Adelle Mcshane,2017-11-29,4805,guimarães,PT,361627207
356,Peronel Bennes,2017-12-04,4830,póvoa de lanhoso,PT,476440846
357,Zachariah Roher,2017-12-14,4804,guimarães,PT,052367060
358,Leocadio Plata,2017-12-20,4820,fafe,PT,185345663
359,Venus Bantay,2018-01-19,4805,ronfe - guimarães,PT,203843064
360,Sybille Salls,2018-02-02,4700,"braga ",PT,NULL
361,Kristofer Piccillo,2018-03-13,4850,vieira do minho,PT,665816312
362,Lona Wenker,2018-03-22,4800,guimarães,PT,425750288
363,Dwain Fergusson,2018-05-08,4730,vila verde,PT,NULL
364,Rudolf Wischman,2018-05-09,4700,braga,PT,786861450
365,Klaas Hules,2018-05-11,4805,caldas das taipas,PT,436677335
366,Nicoletta Tymon,2018-06-04,4770,pousada de saramagos,PT,404481156
367,Dora Thanpaeng,2018-07-26,4810,mesão frio,PT,NULL
368,Maureen Lemmond,2018-08-09,4810,guimarães,PT,NULL
369,Sybella Carbonaro,2018-10-10,4760,v.n.famalicão,PT,400487681
370,Silvestra Klemp,2018-10-25,4820,fafe,PT,NULL
371,Dave Drozda,2018-11-12,4860,cabeceiras de basto,PT,NULL
372,Napier Burchard,2018-12-21,4835,guimarães,PT,646554166
373,Adelia Dellibovi,2019-02-01,4701,braga,PT,560578064
374,Iseult Rusko,2019-03-13,4810,guimarães,PT,NULL
375,Jarod Mielhausen,2019-03-19,4810,guimarães,PT,735376155
376,Sabeen Delco,2019-04-10,4830,póvoa de lanhoso,PT,NULL
377,Noel Santellan,2019-04-23,4705,figueiredo - braga,PT,NULL
378,Mick Bieber,2019-05-13,4805,guimarães,PT,120461016
379,Zach Gojmerac,2019-05-16,4815,vizela,PT,405343668
380,Selene Lamblin,2019-05-27,6300,guarda,PT,NULL
381,Raina Baquiran,2019-06-19,4805,guimarães,PT,850617023
382,Davida Meggs,2019-07-29,4805,guimarães,PT,183784554
383,Renate Lenci,2019-09-10,6430,meda,PT,740370544
384,Halle Schwartzwalde,2004-10-21,3060,cantanhede,PT,NULL
385,Fifi Anderl,2005-04-08,3060,cantanhede,PT,NULL
386,Antonino Ryback,2005-05-05,3040,coimbra,PT,062200888
387,Femie Horstman,2005-06-16,3020,coimbra,PT,NULL
388,Clarinda Trew,2005-09-20,3220,semide,PT,NULL
389,Brendon Bavaro,2005-09-20,3450,mortagua,PT,682518002
390,Lynton Ragus,2005-09-20,3060,cantanhede,PT,144673540
391,Luana Tsuchida,2005-10-10,3040,coimbra,PT,NULL
392,Cordie Piere,2005-10-18,3030,ceira,PT,146485486
393,Brendan Khouri,2005-11-29,3080,figueira da foz,PT,NULL
394,Kacie Ondo,2006-02-17,3025,são martinho de árvore,PT,NULL
395,Maryjo Wadlington,2006-03-09,3040,coimbra,PT,101844201
396,Kailey Burwinkel,2006-03-09,3060,cantanhede,PT,NULL
397,Lewin Sowell,2004-03-19,3020,coimbra,PT,NULL
398,Nathan Battin,2004-03-19,3200,lousã,PT,844404846
399,Denholm Cuffari,2004-03-19,3140,figueira da foz,PT,208581667
400,Stephenie Glueck,2004-03-19,3140,arazede,PT,281745147
401,Ludmilla Turrie,2004-08-12,3030,coimbra,PT,NULL
402,Rodolf Scalia,2004-05-04,3060,coimbra,PT,228051422
403,Rosemary Ninnemann,2004-05-13,3020,coimbra,PT,322524845
404,Lutz Shea,2004-06-04,3060,cantanhede,PT,221528778
405,Niko Toher,2006-05-24,3080,figueira da foz,PT,262481232
406,Chetana Kiewiet,2006-06-01,3200,soure,PT,NULL
407,Gamil Carlsten,2006-06-14,3200,lousã,PT,763307654
408,Armani Vititoe,2006-06-22,3030,coimbra,PT,NULL
409,Waino Cons,2006-08-31,3040,coimbra,PT,122218457
410,Noel Honegger,2006-10-06,3700,arrifana,PT,020303460
411,Aric Ogg,2006-10-27,3150,condeixa a nova,PT,533435641
412,Baptist Macphail,2007-02-28,3080,figueira da foz,PT,545252671
413,Charline Losiewski,2007-03-09,3330,gois,PT,NULL
